valid_time,t2m,latitude,longitude
2025-01-21 05:00:00,269.6599,47.5,13.3
2025-01-21 06:00:00,269.27515,47.5,13.3
2025-01-21 07:00:00,268.78638,47.5,13.3
2025-01-21 08:00:00,269.11987,47.5,13.3
2025-01-21 09:00:00,270.53857,47.5,13.3
2025-01-21 10:00:00,273.44067,47.5,13.3
2025-01-21 11:00:00,274.50757,47.5,13.3
2025-01-21 12:00:00,275.27734,47.5,13.3
2025-01-21 13:00:00,275.82886,47.5,13.3
2025-01-21 14:00:00,275.5642,47.5,13.3
2025-01-21 15:00:00,275.063,47.5,13.3
2025-01-21 16:00:00,274.54272,47.5,13.3
2025-01-21 17:00:00,274.35156,47.5,13.3
2025-01-21 18:00:00,273.59058,47.5,13.3
2025-01-21 19:00:00,271.88525,47.5,13.3
2025-01-21 20:00:00,270.81543,47.5,13.3
2025-01-21 21:00:00,269.79688,47.5,13.3
2025-01-21 22:00:00,268.58398,47.5,13.3
2025-01-21 23:00:00,267.35962,47.5,13.3
2025-01-22 00:00:00,266.41284,47.5,13.3
2025-01-22 01:00:00,265.91968,47.5,13.3
2025-01-22 02:00:00,265.37866,47.5,13.3
2025-01-22 03:00:00,264.67993,47.5,13.3
2025-01-22 04:00:00,264.5293,47.5,13.3
2025-01-22 05:00:00,264.22144,47.5,13.3
2025-01-22 06:00:00,263.95215,47.5,13.3
2025-01-22 07:00:00,263.56738,47.5,13.3
2025-01-22 08:00:00,264.656,47.5,13.3
2025-01-22 09:00:00,267.48682,47.5,13.3
2025-01-22 10:00:00,270.52783,47.5,13.3
2025-01-22 11:00:00,272.68896,47.5,13.3
2025-01-22 12:00:00,274.05103,47.5,13.3
2025-01-22 13:00:00,274.7954,47.5,13.3
2025-01-22 14:00:00,274.34473,47.5,13.3
2025-01-22 15:00:00,273.49048,47.5,13.3
2025-01-22 16:00:00,272.11133,47.5,13.3
2025-01-22 17:00:00,269.95215,47.5,13.3
2025-01-22 18:00:00,268.9751,47.5,13.3
2025-01-22 19:00:00,268.19263,47.5,13.3
2025-01-22 20:00:00,267.36133,47.5,13.3
2025-01-22 21:00:00,267.44897,47.5,13.3
2025-01-22 22:00:00,267.37695,47.5,13.3
2025-01-22 23:00:00,267.08276,47.5,13.3
2025-01-23 00:00:00,266.87817,47.5,13.3
2025-01-23 01:00:00,267.1494,47.5,13.3
2025-01-23 02:00:00,267.3037,47.5,13.3
2025-01-23 03:00:00,266.85986,47.5,13.3
2025-01-23 04:00:00,267.23633,47.5,13.3
2025-01-23 05:00:00,267.4502,47.5,13.3
2025-01-23 06:00:00,267.68652,47.5,13.3
